Birre;;;;
Hamburger di fassona 200 gr; 14 ;;;
Hamburger di bufalo 200 gr; 14 ;;;
Rustichella di pollo e  cotto ; 14 ;;;
filetto di maiale alla piastra; 14 ;;;
Vegetariano; 12 ;;;
Hamburger vegetariano; 12 ;;;
Patatine fritte; 3 ;;;
Patatine fritte porzione del re; 4 ;;;
Dolci;;;;
Cantinetti & nutella; 5 ;;;
Focaccia alla nutella; 5 ;;;
Panini;;;;
House; 8 ;;;
Grattacielo; 10 ;;;
Guardia; 5 ;;;
hw; 6 ;;;
Hot Dog; 4 ;;;
Cotto; 5 ;;;
Burger; 4 ;;;
Funghi'B; 6 ;;;
Gorgo'B; 5 ;;;
Onion'b; 5 ;;;
Pata'B; 5 ;;;
Pig'B; 5 ;;;
Funghi'S; 6 ;;;
Gorgo'S; 5 ;;;
Menda'S; 5 ;;;
Onion'S; 5 ;;;
Salsiccia; 4 ;;;
